"Sr.","Direction","Stop Name Marathi","stop_name","stop_id","stop_lat","stop_lon","zone_id"
201,"Down","दत्तनगर चिंचवड रोड ","Dattanagar Chinchwad Road","DACHR1",18.623241,73.77437,"DACHR1"
202,"UP","डेक्कन कॉलेज","Deccan College","DECOL2",18.548284,73.8717,"DECOL2"
203,"Down","डेक्कन कॉलेज","Deccan College","DECOL1",18.549986,73.8718729,"DECOL1"
204,"UP","डेक्कन कॉर्नर","Deccan Corner","DECOR2",18.513473,73.840953,"DECOR2"
205,"Down","डेक्कन कॉर्नर","Deccan Corner","DECOR1",18.513403,73.841148,"DECOR1"
206,"UP","डेक्कन जिमखाना","Deccan Gymkhana","DEGYM2",18.516977,73.843265,"DEGYM2"
207,"Down","डेक्कन जिमखाना","Deccan Gymkhana","DEGYM1",18.516977,73.843265,"DEGYM1"
208,"UP","धायरेश्वर मंदीर","Dhayareshwar Mandir","DHMAN2",18.44243,73.812587,"DHMAN2"
209,"Down","धायरेश्वर मंदीर","Dhayareshwar Mandir","DHMAN1",18.442297,73.812738,"DHMAN1"
210,"UP","धायरी मारूती मंदिर","Dhayari Maruti Mandir","DHMAM2",18.442561,73.809882,"DHMAM2"
211,"Down","धायरी मारूती मंदिर","Dhayari Maruti Mandir","DHMAM1",18.442561,73.809882,"DHMAM1"
212,"UP","धायरी फाटा","Dhayari Phata","DHPHA2",18.461356,73.813114,"DHPHA2"
213,"Down","धायरी फाटा","Dhayari Phata","DHPHA1",18.460649,73.812741,"DHPHA1"
214,"UP","धायरीगांव","Dhayarigaon","DHAYA2",18.447788,73.810327,"DHAYA2"
215,"Down","धायरीगांव","Dhayarigaon","DHAYA1",18.447547,73.810356,"DHAYA1"
216,"UP","डायस प्लॉट","Dias Plot","DIPLO2",18.495966,73.869191,"DIPLO2"
217,"Down","डायस प्लॉट","Dias Plot","DIPLO1",18.495966,73.869191,"DIPLO1"
218,"UP","दिघी","Dighi","DIGHI2",18.613673,73.87285,"DIGHI2"
219,"Down","दिघी","Dighi","DIGHI1",18.612773,73.872958,"DIGHI1"
220,"UP","ज्ञानेश सोसायटी","Dnyanesh Society","DNSOC2",18.477935,73.797953,"DNSOC2"
221,"Down","ज्ञानेश सोसायटी","Dnyanesh Society","DNSOC1",18.47793,73.798232,"DNSOC1"
222,"UP","ज्ञानेश्र्वर सोसायटी","Dnyaneshwar Society","DNRSO2",18.481596,73.850008,"DNRSO2"
223,"Down","ज्ञानेश्र्वर सोसायटी","Dnyaneshwar Society","DNRSO1",18.482611,73.849829,"DNRSO1"
224,"UP","दूध केंद्र","Doodh Kendra","DOKEN2",18.552549,73.878336,"DOKEN2"
225,"Down","दूध केंद्र","Doodh Kendra","DOKEN1",18.552549,73.878336,"DOKEN1"
226,"UP","द्रोपदी मंगल कार्यालय","Draupada Mangal Karyalay","DRMAK2",18.59851,73.742985,"DRMAK2"
227,"UP","दूर्वांकरनगर","Durvankarnagar","DURVA1",18.625669,73.861796,"DURVA1"
228,"Down","दूर्वांकरनगर","Durvankarnagar","DURVA2",18.625771,73.862036,"DURVA2"
229,"Down","ई स्केअर","E Square","EQUAR1",18.534976,73.83661,"EQUAR1"
230,"UP","इलेक्ट्रॉनिक सदन","Electronic Sadan","ELSAD2",18.623019,73.838574,"ELSAD2"
231,"Down","इलेक्ट्रॉनिक सदन","Electronic Sadan","ELSAD1",18.622951,73.838535,"ELSAD1"
232,"UP","एलप्रो कंपनी","Elpro Company","ELCOM2",18.63091,73.783026,"ELCOM2"
233,"Down","एलप्रो कंपनी","Elpro Company","ELCOM1",18.632447,73.785068,"ELCOM1"
234,"UP","एमक्युअर","EmCure","EMCUR2",18.595727,73.712464,"EMCUR2"
235,"Down","एमक्युअर","EmCure","EMCUR1",18.59603,73.712839,"EMCUR1"
236,"UP","एमपायर इस्टेट","Empire Estate","EMEST2",18.634892,73.798157,"EMEST2"
237,"Down","एमपायर इस्टेट","Empire Estate","EMEST1",18.635373,73.798232,"EMEST1"
238,"UP","एम्प्लायमेट ऑफिस","Employment Office","EMOFF2",18.520088,73.870078,"EMOFF2"
239,"Down","एम्प्लायमेट ऑफिस","Employment Office","EMOFF1",18.519996,73.86993,"EMOFF1"
240,"UP","एनफिल्ड कंपनी","Enfield Company","ENCOM2",18.678515,74.109304,"ENCOM2"
241,"Down","एनफिल्ड कंपनी","Enfield Company","ENCOM1",18.678515,74.109304,"ENCOM1"
242,"UP","इंजिनिअरिंग कॉलेज","Engineering College","ENCOL2",18.529403,73.858528,"ENCOL2"
243,"Down","इंजिनिअरिंग कॉलेज","Engineering College","ENCOL1",18.529569,73.85857,"ENCOL1"
244,"UP","फॅक्टरी  रोड","Factory Road","FAROA2",18.564904,73.850456,"FAROA2"
245,"Down","फॅक्टरी रोड","Factory Road","FAROA1",18.564871,73.850433,"FAROA1"
246,"UP","फातिमानगर","Fatimanagar","FATIM2",18.506393,73.901918,"FATIM2"
247,"Down","फातिमानगर","Fatimanagar","FATIM1",18.506704,73.899748,"FATIM1"
248,"UP","फर्ग्युसन कॉलेज","Fergusson College","FECOL2",18.522937,73.840956,"FECOL2"
249,"UP","फिल्म इन्स्टियुट","Film Institute","FIINS1",18.512187,73.828964,"FIINS1"
250,"Down","फिल्म इन्स्टियुट","Film Institute","FIINS2",18.513135,73.828709,"FIINS2"
251,"UP","फिनिलेक्स ","Finolex","FINOL1",18.630705,73.802172,"FINOL1"
252,"Down","फिनिलेक्स ","Finolex","FINOL2",18.630483,73.801762,"FINOL2"
253,"UP","फन टाईम","Fun Time","FUTIM1",18.468676,73.819436,"FUTIM1"
254,"Down","फन टाईम","Fun Time","FUTIM2",18.469005,73.819846,"FUTIM2"
255,"UP","गाडेवस्ती","Gadevasti","GADEV1",18.597105,74.003084,"GADEV1"
256,"Down","गाडेवस्ती","Gadevasti","GADEV2",18.597105,74.003084,"GADEV2"
257,"Down","गाडीखाना","Gadikhana","GADIK1",18.512214,73.8577,"GADIK1"
258,"UP","गाडीतळ","Gadital","GADIT2",18.527152,73.864217,"GADIT2"
259,"Down","गाडीतळ","Gadital","GADIT1",18.527027,73.864834,"GADIT1"
260,"UP","गजानन महाराज मंदिर आळंदी रोड","Gajanan Maharaj Mandir Alandi Road","GAMAM2",18.631922,73.872697,"GAMAM2"
