block_id,direction_id,route_id,service_id,shape_id,trip_headsign,trip_id,trip_short_name,wheelchair_accessible
4,1,R1,SU,R1_1,Aluva,R1SUL153727,15:37 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR161226,16:12 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL164727,16:47 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR172226,17:22 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL175727,17:57 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR183226,18:32 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL190727,19:07 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR194418,19:44 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL201939,20:19 Aluva,1
4,0,R1,SU,R1_0,Maharaja College,R1SUR205908,20:59 Maharaja College,1
4,1,R1,SU,R1_1,Aluva,R1SUL213419,21:34 Aluva,1
3,1,R1,SU,R1_1,Aluva,R1SUL075639,07:56 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR083145,08:31 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL090646,09:06 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR094216,09:42 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL101726,10:17 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR105655,10:56 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL113226,11:32 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR120725,12:07 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL124226,12:42 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR131725,13:17 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL135226,13:52 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR142725,14:27 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL150226,15:02 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR153725,15:37 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL161226,16:12 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR164725,16:47 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL172226,17:22 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR175725,17:57 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL183226,18:32 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR190725,19:07 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL194423,19:44 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR201956,20:19 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL205443,20:54 Aluva,1
3,0,R1,SU,R1_0,Maharaja College,R1SUR212701,21:27 Maharaja College,1
3,1,R1,SU,R1_1,Aluva,R1SUL215649,21:56 Aluva,1
1,1,R1,SU,R1_1,Aluva,R1SUL073247,07:32 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR081405,08:14 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL084906,08:49 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR092016,09:20 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL095536,09:55 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR103035,10:30 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL110601,11:06 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR114100,11:41 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL121601,12:16 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR125100,12:51 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL132601,13:26 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR140100,14:01 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL143601,14:36 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR151100,15:11 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL154601,15:46 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR162100,16:21 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL165601,16:56 Aluva,1
1,0,R1,SU,R1_0,Maharaja College,R1SUR173100,17:31 Maharaja College,1
1,1,R1,SU,R1_1,Aluva,R1SUL180601,18:06 Aluva,1
