shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
R001_0,72,76.3083,10.8,10.0251
R001_0,73,76.30497457883551,11.530000000000001,10.01943910589762
R001_0,74,76.30376580943441,11.73,10.018132638905785
R001_0,75,76.30276341529691,11.9,10.016942297731514
R001_0,76,76.30238014695023,11.98,10.016332609096933
R001_0,77,76.3023,12.110000000000001,10.0152
R001_0,78,76.30220325386713,12.21,10.014300305372988
R001_0,79,76.30358891635133,12.75,10.009625958503708
R001_0,80,76.3048,13.13,10.0064
R001_0,81,76.30510724864781,13.290000000000001,10.005038645826346
R001_0,82,76.30510724864781,13.350000000000001,10.004530553410598
R001_0,83,76.30470923921088,13.490000000000002,10.003369196332768
R001_0,84,76.30354469308054,13.690000000000001,10.001932011200497
R001_0,85,76.30317616582411,13.740000000000002,10.001714255322778
R001_0,86,76.30243668515558,13.820000000000002,10.001517548873277
R001_0,87,76.300449771081,14.040000000000003,10.001119841466005
R001_0,88,76.29998131166504,14.100000000000003,10.000913033421826
R001_0,89,76.2989,14.240000000000004,10.0002
R001_0,90,76.29778843698517,14.380000000000004,9.999529006968833
R001_0,91,76.29686767192622,14.510000000000005,9.998741541011
R001_0,92,76.29517960265149,14.750000000000005,9.997333642573508
R001_0,93,76.29422653004659,14.880000000000006,9.996601851146377
R001_0,94,76.2926030758637,15.100000000000007,9.995416663709888
R001_0,95,76.2914,15.280000000000006,9.9943
R001_0,96,76.28986904978954,15.530000000000006,9.992680375541934
R001_0,97,76.28896847694678,15.670000000000007,9.991837212337712
R001_0,98,76.2884,15.750000000000007,9.9914
R001_0,99,76.28769232888261,15.850000000000007,9.990858822105993
R001_0,100,76.28752271426649,15.880000000000006,9.990707688393123
R001_0,101,76.2866665642994,16.040000000000006,9.989530433909946
R001_0,102,76.28595579828898,16.200000000000006,9.988297493903806
R001_0,103,76.28557618462433,16.270000000000007,9.98783613450657
R001_0,104,76.28523695539208,16.330000000000005,9.987462273825471
R001_0,105,76.28493811059225,16.370000000000005,9.987199775643736
R001_0,106,76.28420311392236,16.470000000000006,9.986690687657338
R001_0,107,76.28328638730667,16.580000000000005,9.986300916629386
R001_0,108,76.2828663892096,16.630000000000006,9.98614182627972
R001_0,109,76.28251100620437,16.680000000000007,9.985935008708877
R001_0,110,76.28226062272343,16.720000000000006,9.985664554764059
R001_0,111,76.28209908499379,16.750000000000007,9.985402055132067
R001_0,112,76.28199408546953,16.790000000000006,9.985075918930699
R001_0,113,76.28196985481007,16.840000000000007,9.984654327747034
R001_0,114,76.28201831612898,16.870000000000008,9.984375918175399
R001_0,115,76.2823,16.980000000000008,9.9834
R001_0,116,76.28290677364201,17.180000000000007,9.98173499268099
R001_0,117,76.28328254771993,17.420000000000005,9.979615207824892
R001_0,118,76.2834682550632,17.520000000000007,9.978780194386482
R001_0,119,76.28413160412475,17.740000000000006,9.976907355778346
R001_0,120,76.28458857792273,17.930000000000007,9.975295834867703
R001_0,121,76.2851,18.170000000000005,9.9732
R001_1,1,76.2851,0.0,9.9732
R001_1,2,76.28458857792273,0.24,9.975295834867703
R001_1,3,76.28413160412475,0.43,9.976907355778346
R001_1,4,76.2834682550632,0.65,9.978780194386482
R001_1,5,76.28328254771993,0.75,9.979615207824892
R001_1,6,76.28290677364201,0.99,9.98173499268099
R001_1,7,76.2823,1.19,9.9834
R001_1,8,76.28201831612898,1.3,9.984375918175399
R001_1,9,76.28196985481007,1.33,9.984654327747034
R001_1,10,76.28199408546953,1.38,9.985075918930699
R001_1,11,76.28209908499379,1.42,9.985402055132067
R001_1,12,76.28226062272343,1.45,9.985664554764059
R001_1,13,76.28251100620437,1.49,9.985935008708877
R001_1,14,76.2828663892096,1.54,9.98614182627972
R001_1,15,76.28328638730667,1.59,9.986300916629386
R001_1,16,76.28420311392236,1.7,9.986690687657338
R001_1,17,76.28493811059225,1.8,9.987199775643736
R001_1,18,76.28523695539208,1.84,9.987462273825471
R001_1,19,76.28557618462433,1.9,9.98783613450657
R001_1,20,76.28595579828898,1.97,9.988297493903806
R001_1,21,76.2866665642994,2.13,9.989530433909946
R001_1,22,76.28752271426649,2.29,9.990707688393123
R001_1,23,76.28769232888261,2.32,9.990858822105993
R001_1,24,76.2884,2.42,9.9914
R001_1,25,76.28896847694678,2.5,9.991837212337712
R001_1,26,76.28986904978954,2.64,9.992680375541934
R001_1,27,76.2914,2.89,9.9943
R001_1,28,76.2926030758637,3.07,9.995416663709888
R001_1,29,76.29422653004659,3.29,9.996601851146377
R001_1,30,76.29517960265149,3.42,9.997333642573508
R001_1,31,76.29686767192622,3.66,9.998741541011
R001_1,32,76.29778843698517,3.79,9.999529006968833
R001_1,33,76.2989,3.93,10.0002
R001_1,34,76.29998131166504,4.07,10.000913033421826
R001_1,35,76.300449771081,4.13,10.001119841466005
R001_1,36,76.30243668515558,4.35,10.001517548873277
R001_1,37,76.30317616582411,4.43,10.001714255322778
R001_1,38,76.30354469308054,4.48,10.001932011200497
