shape_id,shape_pt_lat,shape_pt_lon,shape_dist_traveled,shape_pt_sequence
R1_0,9.992680375541934,76.28986904978954,15.530000000000006,96
R1_0,9.991837212337712,76.28896847694678,15.670000000000007,97
R1_0,9.9914,76.2884,15.750000000000007,98
R1_0,9.990858822105993,76.28769232888261,15.850000000000007,99
R1_0,9.990707688393123,76.28752271426649,15.880000000000006,100
R1_0,9.989530433909946,76.2866665642994,16.040000000000006,101
R1_0,9.988297493903806,76.28595579828898,16.200000000000006,102
R1_0,9.98783613450657,76.28557618462433,16.270000000000007,103
R1_0,9.987462273825471,76.28523695539208,16.330000000000005,104
R1_0,9.987199775643736,76.28493811059225,16.370000000000005,105
R1_0,9.986690687657338,76.28420311392236,16.470000000000006,106
R1_0,9.986300916629386,76.28328638730667,16.580000000000005,107
R1_0,9.98614182627972,76.2828663892096,16.630000000000006,108
R1_0,9.985935008708877,76.28251100620437,16.680000000000007,109
R1_0,9.985664554764059,76.28226062272343,16.720000000000006,110
R1_0,9.985402055132067,76.28209908499379,16.750000000000007,111
R1_0,9.985075918930699,76.28199408546953,16.790000000000006,112
R1_0,9.984654327747034,76.28196985481007,16.840000000000007,113
R1_0,9.984375918175399,76.28201831612898,16.870000000000008,114
R1_0,9.9834,76.2823,16.980000000000008,115
R1_0,9.98173499268099,76.28290677364201,17.180000000000007,116
R1_0,9.979615207824892,76.28328254771993,17.420000000000005,117
R1_0,9.978780194386482,76.2834682550632,17.520000000000007,118
R1_0,9.976907355778346,76.28413160412475,17.740000000000006,119
R1_0,9.975295834867703,76.28458857792273,17.930000000000007,120
R1_0,9.9732,76.2851,18.170000000000005,121
R1_1,9.9732,76.2851,0.0,1
R1_1,9.975295834867703,76.28458857792273,0.24,2
R1_1,9.976907355778346,76.28413160412475,0.43,3
R1_1,9.978780194386482,76.2834682550632,0.65,4
R1_1,9.979615207824892,76.28328254771993,0.75,5
R1_1,9.98173499268099,76.28290677364201,0.99,6
R1_1,9.9834,76.2823,1.19,7
R1_1,9.984375918175399,76.28201831612898,1.3,8
R1_1,9.984654327747034,76.28196985481007,1.33,9
R1_1,9.985075918930699,76.28199408546953,1.38,10
R1_1,9.985402055132067,76.28209908499379,1.42,11
R1_1,9.985664554764059,76.28226062272343,1.45,12
R1_1,9.985935008708877,76.28251100620437,1.49,13
