stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0803590,56559,Mission Blvd:Sorenson Rd,,  37.6467324,-122.0632702,,,0,
0803600,52711,Mission Blvd:Sunset Blvd,,  37.6778163,-122.0907280,,,0,
0803610,56562,Mission Blvd:Sunset Blvd,,  37.6776899,-122.0908812,,,0,
0803620,52521,Mission Blvd:Sycamore Av,,  37.6629075,-122.0761866,,,0,
0803630,53045,Mission Blvd:Tennyson Rd,,  37.6369255,-122.0552617,,,0,
0803640,58001,Mission Blvd:Tennyson Rd,,  37.6368464,-122.0546629,,,0,
0803670,56743,Mission Blvd:Valle Vista Av,,  37.6333635,-122.0513566,,,0,
0803680,59943,Mission Blvd:Valle Vista Av,,  37.6338720,-122.0515101,,,0,
0803700,53145,Clawiter Rd:National Av,,  37.6493170,-122.1202618,,,0,
0803810,59569,Patrick Av:Roosevelt Av,,  37.6337677,-122.0792588,,,0,
0803820,50120,Patrick Av:Roosevelt Av,,  37.6336559,-122.0795229,,,0,
0803840,53532,Patrick Av:W Tennyson Rd,,  37.6317484,-122.0793221,,,0,
0803940,53645,Ruus Ln:#1310 (Near Ruus Rd),,  37.6211710,-122.0650694,,,0,
0803950,58789,Ruus Ln:Ruus Rd,,  37.6213203,-122.0645426,,,0,
0803960,55927,Ruus Ln:Stratford Rd (Georgian Manor West Gate),,  37.6207343,-122.0697817,,,0,
0803970,53680,Ruus Ln:Stratford Rd (Opp. Georgian Manor W. Gate),,  37.6206138,-122.0696141,,,0,
0803980,55937,Ruus Rd:Folsom Av,,  37.6250887,-122.0658519,,,0,
0804000,53820,Ruus Rd:Thiel Rd,,  37.6241276,-122.0652681,,,0,
0804010,51070,Ruus Rd:Thiel Rd,,  37.6243470,-122.0655323,,,0,
0804020,53470,Sabre St:#1809,,  37.6566125,-122.1317489,,,0,
0804030,52869,Sabre St:Corsair Blvd,,  37.6563375,-122.1253260,,,0,
0804040,55971,Sabre St:Corsair Blvd,,  37.6561773,-122.1252563,,,0,
0804050,57055,Sabre St:Div 6 Gate,,  37.6564861,-122.1300293,,,0,
0804060,57732,Sabre St:Div 6 Gate,,  37.6566423,-122.1298559,,,0,
0804200,53450,Santa Clara St:Ocie Way,,  37.6591636,-122.1003297,,,0,
0804210,56470,Santa Clara St:Ocie Way,,  37.6592565,-122.1007234,,,0,
0804220,58112,Santa Clara St:Redbud Ln,,  37.6622699,-122.1019890,,,0,
0804230,51080,Santa Clara St:Redbud Ln,,  37.6624606,-122.1022064,,,0,
0804240,51410,Santa Clara St:Santa Clara Way,,  37.6655824,-122.1022922,,,0,
0804250,59660,Santa Clara St:W A St,,  37.6661163,-122.1034162,,,0,
0804290,55670,Schafer Rd:Gading Rd (Glassbrook School),,  37.6409320,-122.0809063,,,0,
0804300,59981,Schafer Rd:Gading Rd (Glassbrook School),,  37.6408171,-122.0807190,,,0,
0804310,53595,Schafer Rd:Sunvale Ct,,  37.6409920,-122.0770890,,,0,
0804320,59982,Schafer Rd:Tyrrell Av,,  37.6408695,-122.0767750,,,0,
0804330,54356,Silva Av:Jackson St,,  37.6643036,-122.0825987,,,0,
0804340,57340,Silva Av:Leighton St,,  37.6626130,-122.0814875,,,0,
0804350,50210,Silva Av:Thomas Av,,  37.6620705,-122.0812110,,,0,
0804360,57989,Skyline Dr:#3588,,  37.6508207,-122.0271265,,,0,
0804370,57833,Skyline Dr:Elkgrove Ct,,  37.6527394,-122.0257564,,,0,
0804380,58650,Skyline Dr:Eureka Ct (Dobbel Av),,  37.6468937,-122.0324394,,,0,
0804390,58223,Skyline Dr:Fallbrook Dr,,  37.6492935,-122.0294854,,,0,
0804550,55116,South Hayward BART Station,,  37.6346957,-122.0569386,,,0,place_SHBA
0804560,55404,South Hayward BART Station,,  37.6345559,-122.0568340,,,0,place_SHBA
0804570,56677,South Hayward BART Station,,  37.6343891,-122.0567046,,,0,place_SHBA
0804580,52345,South Hayward BART Station,,  37.6347622,-122.0568088,,,0,place_SHBA
0804590,57400,South Hayward BART Station,,  37.6346240,-122.0566969,,,0,place_SHBA
0804600,55661,South Hayward BART Station,,  37.6344215,-122.0565183,,,0,place_SHBA
0804630,54433,Southland Dr:California Bank (Southland Mall),,  37.6518748,-122.1050592,,,0,
0804640,59965,Southland Dr:California Bank  (Southland Mall),,  37.6520188,-122.1052571,,,0,
0804660,53635,Southland Dr:La Playa Dr,,  37.6541790,-122.1048543,,,0,
0804680,52676,Spencer Ln:Fielding Dr,,  37.6543430,-122.0449965,,,0,
0804690,53669,Spencer Ln:Hayward Blvd,,  37.6553852,-122.0450551,,,0,
0804700,54215,Stratford Rd:Cantebury Ln,,  37.6195882,-122.0701518,,,0,
0804710,50320,Stratford Rd:Pacheco Way,,  37.6180611,-122.0699438,,,0,
0804720,50223,Stratford Rd:Welford Ln,,  37.6188626,-122.0702052,,,0,
0804730,51020,Sycamore Av:Silva Av,,  37.6614846,-122.0804729,,,0,
0804760,51030,Tampa Av:Sumatra St,,  37.6278631,-122.0755951,,,0,
0804770,54651,Tampa Av:Sumatra St,,  37.6274840,-122.0754256,,,0,
0804780,57866,Tampa Av:W Tennyson Rd,,  37.6307885,-122.0758866,,,0,
0804790,59986,Tennyson Rd:Leidig Ct,,  37.6344835,-122.0632227,,,0,
0804800,53991,Tennyson Rd:Oharran Dr,,  37.6351544,-122.0606219,,,0,
0804810,54988,Tennyson Rd:Whitman St,,  37.6353282,-122.0611997,,,0,
0804880,54652,Underwood Av:Cascade St,,  37.6416360,-122.0835666,,,0,
0804890,53992,Underwood Av:Cascade St,,  37.6413193,-122.0834224,,,0,
0804900,53996,Underwood Av:Inglewood St,,  37.6396936,-122.0835632,,,0,
0804910,53935,Underwood Av:Inglewood St,,  37.6394373,-122.0834183,,,0,
