stop_id,stop_name,stop_lat,stop_lon,stop_desc
FLOUR1,Flour Mill,17.38771,78.42277,
FOODW1,Food World,17.49192,78.40522,
GAJUL1,Gajula Ramam X Road,17.51,78.44809,
GAJUL2,Gajula Ramam X Road,17.51028,78.44778,
GANDH1,Gandhi Bhavan,17.3883,78.47152,
GANDH2,Gandhi Nagar Kapra,17.48108,78.56392,
GANDI1,Gandi Maysamma,17.57657,78.42282,
GANDI2,Gandimaysamma X Road,17.5748,78.42351,
GANDI3,Gandimaysamma X Road,17.57531,78.42305,
GANES1,Ganesh Nagar,17.49075,78.45122,
GANES2,Ganesh Nagar,17.49086,78.45109,
GANGA1,Gangaram Bus stop,17.49509,78.33022,
GANGA2,Gangaram Bus stop,17.49497,78.33037,
GANGA3,Gangaram Bus stop,17.49489,78.33031,
GANGA4,Gangaram Bus stop,17.49502,78.33007,
GANGA5,Gangaram Bus stop,17.49489,78.33036,
GANGA6,Ganga Enclave,17.5219,78.4825,
GANGA7,Ganga Enclave,17.5216,78.48278,
GITAM1,Gitam University,17.55102,78.16155,
GPOBU1,GPO Bus Stop,17.38781,78.47613,
GREEN1,Green Park Hotel,17.43593,78.45354,
GRRED1,GR Reddy Nagar,17.49205,78.57496,"Dammaiguda Road, GR Reddy Nagar, Kapra, Secunderabad"
GUNDL1,Gundla Pochampally,17.56881,78.49368,
GUNDL2,Gundla Pochampally,17.5692,78.49389,
GURUD1,Gurudwara(Secunderabad Bus Station),17.43623,78.50043,
GVKON1,GVK One Mall,17.41869,78.44801,
HABSI1,Habsiguda,17.42127,78.53981,habsiguda towards tarnaka
HAL001,Hal,17.47543,78.44815,
HAL002,Hal,17.4755,78.44793,
HANUM1,Hanuman Temple,17.38028,78.36838,hanuman temple towards tirumalagiri
HANUM2,Hanuman Temple,17.37874,78.37014,hanuman temple towards tirumalagiri
HBCOL1,HB Colony First Phase,17.45297,78.56591,
HBCOL2,HB Colony 1st Phase,17.45297,78.56581,
HMTBE1,HMT Bearings,17.44863,78.55121,
HMTFA1,HMT Factory,17.50295,78.45052,
HMTFA2,HMT Factory,17.50292,78.4504,
HUDAC1,Huda Colony Bustop,17.49534,78.33222,
HUDAC2,Huda Colony Bustop,17.49511,78.3327,
HUDAC3,Huda Colony Bustop,17.49535,78.33225,
HUDAC4,Huda Colony Bustop,17.49507,78.33033,
HUMAY1,Humayun Nagar Police Station Bus Stop,17.39794,78.44333,
HYDER1,Hyder Nagar Calvary Church,17.49672,78.37194,
HYDER10,Hyder Nagar Calvary Church,17.49634,78.37278,
HYDER2,Hyder Nagar,17.49836,78.37912,
HYDER3,Hydernagar Bus Stop,17.49927,78.38363,
HYDER4,Hyder Nagar Calvary Church,17.49651,78.37122,
HYDER5,Hydernagar,17.49894,78.38495,
HYDER6,Hyder Nagar Calvary Church,17.49638,78.37196,
HYDER7,Hyder Nagar,17.49953,78.38341,
HYDER8,Hyder Nagar Calvary Church,17.49679,78.37276,
HYDER9,Hyder Nagar,17.49927,78.38363,hydernagar towards miyapur x roads
IBRAH1,Ibrahim Bagh,17.37689,78.38158,
IBRAH2,Ibrahim Bagh,17.3767,78.38158,
ICRIS1,ICRISAT,17.51846,78.27879,
ICRIS2,ICRISAT,17.51876,78.27893,
ICRIS3,ICRISAT,17.51885,78.27843,icrisat to words patancheru
IDPL01,IDPL,17.47123,78.43362,
IDPLC1,IDPL Colony,17.48672,78.45014,
IDPLC2,IDPL Colony Water Tank,17.48172,78.44898,
IDPLC3,IDPL Chowrasta,17.4876,78.45009,
