route_id,service_id,direction_id,trip_id
218D,ALL,1,218D_0855_1
218D,ALL,1,218D_0914_1
218D,ALL,1,218D_0928_1
218D,ALL,1,218D_0942_1
218D,ALL,1,218D_0956_1
218D,ALL,1,218D_1015_1
218D,ALL,1,218D_1036_1
218D,ALL,1,218D_1100_1
218D,ALL,1,218D_1110_1
218D,ALL,1,218D_1124_1
218D,ALL,1,218D_1125_1
218D,ALL,1,218D_1138_1
218D,ALL,1,218D_1145_1
218D,ALL,1,218D_1150_1
218D,ALL,1,218D_1152_1
218D,ALL,1,218D_1207_1
218D,ALL,1,218D_1212_1
218D,ALL,1,218D_1254_1
218D,ALL,1,218D_1328_1
218D,ALL,1,218D_1342_1
218D,ALL,1,218D_1401_1
218D,ALL,1,218D_1415_1
218D,ALL,1,218D_1429_1
218D,ALL,1,218D_1443_1
218D,ALL,1,218D_1457_1
218D,ALL,1,218D_1646_1
218D,ALL,1,218D_1700_1
218D,ALL,1,218D_1719_1
218D,ALL,1,218D_1733_1
218D,ALL,1,218D_1747_1
218D,ALL,1,218D_1801_1
218D,ALL,1,218D_1818_1
218D,ALL,1,218D_1825_1
219,ALL,0,219_0501_0
219,ALL,0,219_0515_0
219,ALL,0,219_0530_0
219,ALL,0,219_0540_0
219,ALL,0,219_0550_0
219,ALL,0,219_0600_0
219,ALL,0,219_0605_0
219,ALL,0,219_0615_0
219,ALL,0,219_0625_0
219,ALL,0,219_0626_0
219,ALL,0,219_0630_0
219,ALL,0,219_0635_0
219,ALL,0,219_0650_0
219,ALL,0,219_0655_0
219,ALL,0,219_0656_0
219,ALL,0,219_0700_0
219,ALL,0,219_0701_0
219,ALL,0,219_0704_0
219,ALL,0,219_0705_0
219,ALL,0,219_0710_0
219,ALL,0,219_0715_0
219,ALL,0,219_0720_0
219,ALL,0,219_0735_0
219,ALL,0,219_0745_0
219,ALL,0,219_0800_0
219,ALL,0,219_0805_0
219,ALL,0,219_0815_0
219,ALL,0,219_0830_0
219,ALL,0,219_0835_0
219,ALL,0,219_0845_0
219,ALL,0,219_0900_0
219,ALL,0,219_0910_0
219,ALL,0,219_0915_0
219,ALL,0,219_0920_0
219,ALL,0,219_0925_0
219,ALL,0,219_0935_0
219,ALL,0,219_0942_0
219,ALL,0,219_0945_0
219,ALL,0,219_0948_0
219,ALL,0,219_0950_0
219,ALL,0,219_0955_0
219,ALL,0,219_1005_0
219,ALL,0,219_1008_0
219,ALL,0,219_1010_0
219,ALL,0,219_1015_0
219,ALL,0,219_1028_0
219,ALL,0,219_1030_0
219,ALL,0,219_1035_0
219,ALL,0,219_1040_0
219,ALL,0,219_1048_0
219,ALL,0,219_1050_0
219,ALL,0,219_1055_0
219,ALL,0,219_1100_0
219,ALL,0,219_1105_0
219,ALL,0,219_1108_0
219,ALL,0,219_1110_0
219,ALL,0,219_1115_0
219,ALL,0,219_1130_0
219,ALL,0,219_1144_0
219,ALL,0,219_1145_0
219,ALL,0,219_1200_0
219,ALL,0,219_1215_0
219,ALL,0,219_1230_0
219,ALL,0,219_1240_0
219,ALL,0,219_1242_0
219,ALL,0,219_1245_0
219,ALL,0,219_1250_0
219,ALL,0,219_1255_0
219,ALL,0,219_1305_0
219,ALL,0,219_1320_0
219,ALL,0,219_1335_0
219,ALL,0,219_1345_0
219,ALL,0,219_1347_0
219,ALL,0,219_1350_0
219,ALL,0,219_1400_0
219,ALL,0,219_1401_0
219,ALL,0,219_1405_0
219,ALL,0,219_1410_0
219,ALL,0,219_1412_0
219,ALL,0,219_1416_0
219,ALL,0,219_1420_0
219,ALL,0,219_1425_0
219,ALL,0,219_1431_0
219,ALL,0,219_1435_0
219,ALL,0,219_1445_0
219,ALL,0,219_1455_0
219,ALL,0,219_1500_0
219,ALL,0,219_1520_0
219,ALL,0,219_1525_0
219,ALL,0,219_1530_0
219,ALL,0,219_1535_0
219,ALL,0,219_1550_0
219,ALL,0,219_1555_0
219,ALL,0,219_1620_0
219,ALL,0,219_1625_0
219,ALL,0,219_1635_0
219,ALL,0,219_1640_0
219,ALL,0,219_1645_0
219,ALL,0,219_1655_0
219,ALL,0,219_1705_0
219,ALL,0,219_1710_0
219,ALL,0,219_1715_0
219,ALL,0,219_1719_0
219,ALL,0,219_1720_0
219,ALL,0,219_1725_0
219,ALL,0,219_1728_0
219,ALL,0,219_1730_0
219,ALL,0,219_1735_0
219,ALL,0,219_1740_0
219,ALL,0,219_1743_0
219,ALL,0,219_1744_0
219,ALL,0,219_1745_0
219,ALL,0,219_1755_0
219,ALL,0,219_1810_0
219,ALL,0,219_1820_0
219,ALL,0,219_1825_0
219,ALL,0,219_1830_0
219,ALL,0,219_1835_0
219,ALL,0,219_1845_0
219,ALL,0,219_1850_0
219,ALL,0,219_1900_0
219,ALL,0,219_1910_0
219,ALL,0,219_1915_0
219,ALL,0,219_1925_0
219,ALL,0,219_1930_0
219,ALL,0,219_1935_0
219,ALL,0,219_1940_0
