route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
R001,SU,R001SUR175725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL183226,Aluva,1,3,R001_1,1
R001,SU,R001SUR190725,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL194423,Aluva,1,3,R001_1,1
R001,SU,R001SUR201956,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL205443,Aluva,1,3,R001_1,1
R001,SU,R001SUR212701,Maharaja College,0,3,R001_0,1
R001,SU,R001SUL215649,Aluva,1,3,R001_1,1
R001,SU,R001SUL073247,Aluva,1,1,R001_1,1
R001,SU,R001SUR081405,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL084906,Aluva,1,1,R001_1,1
R001,SU,R001SUR092016,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL095536,Aluva,1,1,R001_1,1
R001,SU,R001SUR103035,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL110601,Aluva,1,1,R001_1,1
R001,SU,R001SUR114100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL121601,Aluva,1,1,R001_1,1
R001,SU,R001SUR125100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL132601,Aluva,1,1,R001_1,1
R001,SU,R001SUR140100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL143601,Aluva,1,1,R001_1,1
R001,SU,R001SUR151100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL154601,Aluva,1,1,R001_1,1
R001,SU,R001SUR162100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL165601,Aluva,1,1,R001_1,1
R001,SU,R001SUR173100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL180601,Aluva,1,1,R001_1,1
R001,SU,R001SUR184100,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL191601,Aluva,1,1,R001_1,1
R001,SU,R001SUR195617,Maharaja College,0,1,R001_0,1
R001,SU,R001SUL203137,Aluva,1,1,R001_1,1
R001,SU,R001SUR073611,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL081359,Aluva,1,2,R001_1,1
R001,SU,R001SUR084858,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL092359,Aluva,1,2,R001_1,1
R001,SU,R001SUR100128,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL103709,Aluva,1,2,R001_1,1
R001,SU,R001SUR111438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL114939,Aluva,1,2,R001_1,1
R001,SU,R001SUR122438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL125939,Aluva,1,2,R001_1,1
R001,SU,R001SUR133438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL140939,Aluva,1,2,R001_1,1
R001,SU,R001SUR144438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL151939,Aluva,1,2,R001_1,1
R001,SU,R001SUR155438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL162939,Aluva,1,2,R001_1,1
R001,SU,R001SUR170438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL173939,Aluva,1,2,R001_1,1
R001,SU,R001SUR181438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL184939,Aluva,1,2,R001_1,1
R001,SU,R001SUR192438,Maharaja College,0,2,R001_0,1
R001,SU,R001SUL200218,Aluva,1,2,R001_1,1
R001,SU,R001SUR093240,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL100727,Aluva,1,5,R001_1,1
R001,SU,R001SUR103844,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL111457,Aluva,1,5,R001_1,1
R001,SU,R001SUR114956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL122457,Aluva,1,5,R001_1,1
R001,SU,R001SUR125956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL133457,Aluva,1,5,R001_1,1
R001,SU,R001SUR140956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL144457,Aluva,1,5,R001_1,1
R001,SU,R001SUR151956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL155457,Aluva,1,5,R001_1,1
R001,SU,R001SUR162956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL170457,Aluva,1,5,R001_1,1
R001,SU,R001SUR173956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL181457,Aluva,1,5,R001_1,1
R001,SU,R001SUR184956,Maharaja College,0,5,R001_0,1
R001,SU,R001SUL192457,Aluva,1,5,R001_1,1
R001,SU,R001SUR095240,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL102727,Aluva,1,6,R001_1,1
R001,SU,R001SUR110539,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL114112,Aluva,1,6,R001_1,1
R001,SU,R001SUR121611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL125112,Aluva,1,6,R001_1,1
R001,SU,R001SUR132611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL140112,Aluva,1,6,R001_1,1
R001,SU,R001SUR143611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL151112,Aluva,1,6,R001_1,1
R001,SU,R001SUR154611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL162112,Aluva,1,6,R001_1,1
R001,SU,R001SUR165611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL173112,Aluva,1,6,R001_1,1
R001,SU,R001SUR180611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL184112,Aluva,1,6,R001_1,1
R001,SU,R001SUR191611,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL195309,Aluva,1,6,R001_1,1
R001,SU,R001SUR203111,Maharaja College,0,6,R001_0,1
R001,SU,R001SUL210637,Aluva,1,6,R001_1,1
R001,SU,R001SUR214136,Maharaja College,0,6,R001_0,1
R001,SU,R001SUR101202,Maharaja College,0,7,R001_0,1
